"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
1796.78,2943.78,23.86,0.567,0.406,0.973,"NGC7339","Spiral",10.7,2.04725,0
1860.54,3083.5,24.047,0.92,0.578,1.498,"NGC7339","Spiral",10.7,2.33446,0
908.57,3217.5,24.178,0.684,0.473,1.157,"NGC7339","Spiral",10.7,1.53742,0
374.21,3251.74,20.867,0.58,0.353,0.933,"NGC7339","Spiral",10.7,2.18526,1
590.25,3285.31,23.065,0.619,0.352,0.971,"NGC7339","Spiral",10.7,1.94435,1
387.25,3344.34,21.252,0.6,0.369,0.969,"NGC7339","Spiral",10.7,2.32942,1
2515.71,3512.89,24.193,0.489,0.418,0.907,"NGC7339","Spiral",10.7,4.17163,0
349.78,3539.59,22.875,0.797,0.393,1.19,"NGC7339","Spiral",10.7,2.7498,1
1774.2,3601.68,23.317,0.662,0.508,1.17,"NGC7339","Spiral",10.7,3.01396,1
2566.21,3773.34,23.864,0.748,0.454,1.202,"NGC7339","Spiral",10.7,4.6183,0
742.45,3885.37,21.661,0.611,0.364,0.975,"NGC7339","Spiral",10.7,3.14688,1
571.67,3896.97,21.439,0.58,0.352,0.932,"NGC7339","Spiral",10.7,3.27599,1
1492.19,3911.16,24.121,0.744,0.57,1.314,"NGC7339","Spiral",10.7,3.34354,0
3453.36,3917.36,23.824,0.814,0.414,1.228,"NGC7339","Spiral",10.7,6.55031,0
1724.54,4075.44,21.89,0.717,0.546,1.263,"NGC7339","Spiral",10.7,3.90959,1
2288.1,2938.91,23.961,0.998,0.513,1.511,"NGC7339","Spiral",10.7,3.12502,0
3540.39,2776.06,23.595,0.782,0.58,1.362,"NGC7332","S0",11.1,0.789914,0
3419.64,3347.06,23.79,1.004,0.707,1.711,"NGC7332","S0",11.1,1.19338,0
3129.23,2308.62,23.17,0.889,0.486,1.375,"NGC7332","S0",11.1,1.35307,1
3024.19,2398.18,24.061,1.225,0.522,1.747,"NGC7332","S0",11.1,1.21644,0
2288.1,2938.91,23.961,0.998,0.513,1.511,"NGC7332","S0",11.1,2.19098,0
